ID,airport_name,type,country,lat,long,elevation,service
594079,Giliyang Heliport,heliport,ID,-7.00218,114.17324,59.0,no
594082,Holcim Tuban Heliport,heliport,ID,-6.81441,111.88536,105.0,no
594196,Bukit Mulia Airport,small_airport,ID,-3.79107,115.29557,82.0,no
594201,Kintap Airport,small_airport,ID,-3.8244,115.1825,66.0,no
594433,Gudang Garam Heliport,heliport,ID,-7.71802,113.52407,33.0,no
595432,Apogomakida Airstrip,small_airport,ID,-4.00453,135.49515,5988.0,no
599490,Balinggama Airstrip,small_airport,ID,-4.348044,139.319022,7411.0,no
599498,Kweapbel Airstrip,small_airport,ID,-4.380903,138.684517,7247.0,no
599500,Gingginem Airstrip,small_airport,ID,-4.41147,138.6815,5504.0,no
599503,Bikgunulingge Airstrip,small_airport,ID,-4.431974,138.666689,6605.0,no
599504,Bina Airstrip,small_airport,ID,-3.706185,137.728514,5265.0,no
599507,Ipdeheik Airstrip,small_airport,ID,-4.377306,139.319633,7897.0,no
599508,Eyub Airstrip,small_airport,ID,-4.534076,139.766729,6751.0,no
599513,Amuma Airstrip,small_airport,ID,-4.473639,138.986646,5798.0,no
599518,Aniek Airstrip,small_airport,ID,-4.441464,139.309477,5659.0,no
600726,Helipad Koptu Legi,heliport,ID,3.256464,97.18706,30.0,no
602509,Dagi Baru Airstrip,small_airport,ID,-4.530773,139.627377,5523.0,no
602510,Hogio Airstrip,small_airport,ID,-4.428133,139.135677,5945.0,no
602511,Kemligin Airstrip,small_airport,ID,-4.565714,139.662389,6700.0,no
602512,Duram Airport,small_airport,ID,-4.473184,139.618372,7360.0,no
602515,Bisek Airstrip,small_airport,ID,-4.350767,139.249926,7374.0,no
602518,Kosorek Airport,small_airport,ID,-4.127259,139.531326,4722.0,no
605114,Burumeso Airstrip,small_airport,ID,-2.353127,137.998064,193.0,no
605115,Beoga Airstrip,small_airport,ID,-3.019129,137.2844,,no
605870,Grosberg Mine Heliport,heliport,ID,-4.062167,137.146387,12913.0,no
605895,Kabare Airport,small_airport,ID,-0.05022,131.001631,41.0,no
606167,Felix Demin Heliport,heliport,ID,-8.82103,115.12648,531.0,no
606168,Basarnas Heliport,heliport,ID,-8.75546,115.16815,16.0,no
607494,Kapiraya Airstrip,small_airport,ID,-4.411759,135.998729,161.0,no
607495,Kilmit Airstrip,small_airport,ID,-4.309575,138.122154,3291.0,no
41361,Apalapsili Airport,small_airport,ID,-3.882495,139.310932,3100.0,no
41362,Anggi Airport,small_airport,ID,-1.3858,133.8737,6644.0,no
41363,Astra Ksetra Airport,small_airport,ID,-4.611588,105.231968,99.0,no
41366,Boalang Airport,small_airport,ID,-0.972896,122.144997,146.0,no
41369,Elelim Airport,small_airport,ID,-3.785922,139.384497,1490.0,no
41370,Ewer Asmat Airport,small_airport,ID,-5.496185,138.078361,27.0,no
31515,Gag Island Airport,small_airport,ID,-0.400556,129.895004,1.0,no
41371,Ilu Airport,small_airport,ID,-3.7051,138.2002,6408.0,no
41378,Kotabangun Airport,small_airport,ID,-0.266669988632,116.583335876,13.0,no
41379,Departi Parbo Airport,small_airport,ID,-2.094042,101.47025,2600.0,yes
41381,Kelila Airport,small_airport,ID,-3.728968,138.710117,9092.0,no
41388,Banaina Airport,small_airport,ID,2.72305011749,117.125999451,60.0,no
29639,Bilorai Airport,medium_airport,ID,-3.739503,137.031183,7348.0,yes
319816,Jos Orno Imsula Airport,small_airport,ID,-8.140683,127.909669,43.0,yes
339963,Dara Sakor International Airport,large_airport,KH,10.914244,103.226652,60.0,yes
31781,Kratie Airport,closed,KH,12.489017,106.05469,102.0,no
